id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
581220277018359760,Guest Suite-Brightwood DC- 2 Bedrooms Free Parking,112449954,Elhadji,,"Takoma, Brightwood, Manor Park",38.96476,-77.01857,Entire home/apt,151,2,9,2023-02-19,1.84,1,219,9,Hosted License: 5007242201002165
581964711142841180,1 BR basement apartment with private entrance.,8753048,Blaise And Eva,,"Brightwood Park, Crestwood, Petworth",38.95348,-77.01828,Entire home/apt,66,2,34,2023-01-29,3.55,1,241,34,Hosted License: 5007242201000742
582029568448605148,**Cozy suite close to metro 15mins 2 downtown DC**,446615875,Gamaliel,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89444,-76.91503,Private room,41,2,38,2023-03-15,3.11,9,230,38,Exempt
589694090262915962,Quiet and Comfortable Bedroom by Park/Metro,34583501,Mariya,,"Sheridan, Barry Farm, Buena Vista",38.859856,-76.987694,Private room,45,31,3,2022-07-04,0.30,10,365,3,
589696537075141199,Spacious Private Bedroom w/ Balcony by Park/Metro,34583501,Mariya,,"Sheridan, Barry Farm, Buena Vista",38.85941,-76.9888,Private room,49,31,1,2022-07-18,0.12,10,365,1,
589748393233487794,Adorable 1 Bedroom In Historic Kingman Park,80883993,Jacob,,"Union Station, Stanton Park, Kingman Park",38.89379,-76.97701,Entire home/apt,107,2,10,2023-03-12,1.86,1,239,10,Hosted License: 5007242201000993
53958255,Fancy Studio Steps from The Oval Office,289259344,Douglas,,"Dupont Circle, Connecticut Avenue/K Street",38.90364,-77.03586,Entire home/apt,141,2,94,2023-03-17,6.38,20,222,78,Exempt
582081282890217338,**Comfortable room 15mins from downtown**,446615875,Gamaliel,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.8946,-76.91497,Private room,41,2,36,2023-03-15,2.94,9,230,35,Exempt
53958894,The Lafayette Lounge Suite ✮ A Premier DC Studio Stay,289259344,Douglas,,"Dupont Circle, Connecticut Avenue/K Street",38.903381,-77.036858,Entire home/apt,141,2,97,2023-03-16,6.57,20,206,83,Exempt
582391664493475305,Lovely 2 bedroom apartment with a free parking,413567789,Anna,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89611,-76.92921,Entire home/apt,98,31,0,,,1,316,0,
589832171672232396,Historic rowhouse in heart of Shaw,4325061,Ali,,"Shaw, Logan Circle",38.911324,-77.021179,Entire home/apt,760,4,12,2023-02-22,1.44,1,318,12,Unhosted License: 5007262201001449
589994211216452361,Month & Longer Stay - 1 BR in Adams Morgan /22,69203193,Leyla & Matt,,"Dupont Circle, Connecticut Avenue/K Street",38.9185905456543,-77.03758239746094,Entire home/apt,91,31,4,2022-10-01,0.41,35,275,4,
590461600648882197,Stylish Petworth row house + yard and parking!,4159134,Jeremy,,"Brightwood Park, Crestwood, Petworth",38.94818,-77.02564,Entire home/apt,324,4,19,2022-11-26,1.86,5,16,19,Hosted License: 5007242201000528
582433053828153313,3 Level 4 Bedroom Home w/ Parking in Adams Morgan,222603,Rabi,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91955,-77.03928,Entire home/apt,400,1,39,2023-03-17,5.25,1,230,39,Hosted License: 5007242201000421
582706348567138736,Luxury CapHill Townhouse-Free Parking-BestLocation,293372071,Eddie,,"Capitol Hill, Lincoln Park",38.8878,-76.99902,Entire home/apt,319,2,115,2023-03-15,9.38,2,98,113,"Hosted License: 5007242201000704
Unhosted License: 5007262201000705"
590549259773453360,Sonder at Found Dupont Circle Superior Queen Room,219493221,Sonder (D.C.),,"Dupont Circle, Connecticut Avenue/K Street",38.91137,-77.03557,Private room,228,2,166,2023-03-01,16.01,37,359,166,Exempt
53965435,New Modern 1 bedroom basement unit near Metro,412997518,Yohanes,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95234,-77.00845,Entire home/apt,87,3,53,2023-02-20,3.59,1,8,45,Hosted License: 5007242201001877
590589090220476968,"Cozy, Comfy & Convenient",131934644,Juanita,,"Brightwood Park, Crestwood, Petworth",38.94309,-77.01571,Entire home/apt,110,31,0,,,1,126,0,
591080978176798970,Bright Logan Circle 1b/1b Terrace Level Apartment,2954143,Leah,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91523,-77.02895,Entire home/apt,135,3,7,2022-06-12,0.60,2,185,7,Hosted License: 5007242201000567
591294209693762910,Capitol Hill Garden Apartment,91145909,Stacey,,"Union Station, Stanton Park, Kingman Park",38.89455,-76.99716,Entire home/apt,120,2,31,2023-03-16,3.35,1,241,31,Hosted License: 5007242201001791
591415344062640009,“THE GATEWAY II” A MODERN & CHIC 4 BR HOME IN DC,59506316,Andre,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.87241,-76.97414,Entire home/apt,332,2,31,2023-02-26,3.08,3,251,31,Exempt
592557420602170490,✩DC History Den✩(off-street parking included!)✩,451627238,Shannon,,"Capitol View, Marshall Heights, Benning Heights",38.87797,-76.92909,Entire home/apt,75,1,10,2022-11-13,1.02,1,319,10,Hosted License: 5007242201001299
